,v,t,p,ws,ws-sd,ghi,ghi-sd
2021-09-10 00:00:00+03:00,0.0,15.269,0.0,1.7,0.6,0.0,0.0
2021-09-10 00:10:00+03:00,0.0,14.932,0.0,1.8,0.6,0.0,0.0
2021-09-10 00:20:00+03:00,0.0,14.691,0.0,0.8,0.5,0.0,0.0
2021-09-10 00:30:00+03:00,0.0,14.886,0.0,1.7,0.6,0.0,0.0
2021-09-10 00:40:00+03:00,0.0,15.158,0.0,1.8,0.6,0.0,0.0
2021-09-10 00:50:00+03:00,0.0,15.37,0.0,1.1,0.5,0.0,0.0
2021-09-10 01:00:00+03:00,0.0,15.202,0.0,0.6,0.3,0.0,0.0
2021-09-10 01:10:00+03:00,0.0,14.936,0.0,0.8,0.4,0.0,0.0
2021-09-10 01:20:00+03:00,0.0,15.0,0.0,0.7,0.4,0.0,0.0
2021-09-10 01:30:00+03:00,0.0,14.978,0.0,0.6,0.3,0.0,0.0
2021-09-10 01:40:00+03:00,0.0,14.661,0.0,0.6,0.3,0.0,0.0
2021-09-10 01:50:00+03:00,0.0,14.516,0.0,0.9,0.4,0.0,0.0
2021-09-10 02:00:00+03:00,0.0,14.363,0.0,0.4,0.2,0.0,0.0
2021-09-10 02:10:00+03:00,0.0,13.706,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:20:00+03:00,0.0,13.18,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:30:00+03:00,0.0,13.056,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:40:00+03:00,0.0,13.188,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:50:00+03:00,0.0,13.334,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:00:00+03:00,0.0,13.731,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:10:00+03:00,0.0,13.881,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:20:00+03:00,0.0,13.893,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:30:00+03:00,0.0,13.878,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:40:00+03:00,0.0,13.781,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:50:00+03:00,0.0,13.791,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:00:00+03:00,0.0,13.976,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:10:00+03:00,0.0,14.101,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:20:00+03:00,0.0,14.277,0.0,0.4,0.2,0.0,0.0
2021-09-10 04:30:00+03:00,0.0,14.292,0.0,0.4,0.2,0.0,0.0
2021-09-10 04:40:00+03:00,0.0,14.173,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:50:00+03:00,0.0,13.757,0.0,0.3,0.0,0.0,0.0
